Threads,Schedule,Sequential_Time_ms,Parallel_Time_ms,Speedup,Efficiency,Validation
1,Static,9937.1,13253.2,0.749789,0.749789,OK
1,Dynamic,9937.1,18572.6,0.535041,0.535041,OK
2,Static,9937.1,7528.4,1.31995,0.659974,OK
2,Dynamic,9937.1,10800.8,0.920034,0.460017,OK
4,Static,9937.1,4524.1,2.19648,0.54912,OK
4,Dynamic,9937.1,7597.5,1.30794,0.326986,OK
8,Static,9937.1,2397.4,4.14495,0.518119,OK
8,Dynamic,9937.1,5397,1.84123,0.230153,OK
16,Static,9937.1,3394.5,2.92741,0.182963,OK
16,Dynamic,9937.1,6641,1.49633,0.0935204,OK
32,Static,9937.1,3259.5,3.04866,0.0952706,OK
32,Dynamic,9937.1,5425.6,1.83152,0.057235,OK
